Date,Close/Last,Volume,Open,High,Low
01/02/2026,$80.13,5428443,$79.28,$80.79,$78.61
12/31/2025,$79.36,3108074,$79.79,$79.85,$79.32
12/30/2025,$79.85,3409874,$80.00,$80.24,$79.60
12/29/2025,$80.02,4429779,$79.63,$80.225,$79.60
12/26/2025,$79.61,3236486,$79.02,$79.685,$79.02
12/24/2025,$79.12,1849287,$78.12,$79.25,$78.12
12/23/2025,$78.04,4027021,$78.30,$78.48,$77.94
12/22/2025,$78.36,5700635,$77.67,$78.74,$77.02
12/19/2025,$77.72,12106570,$77.88,$78.95,$77.395
12/18/2025,$77.79,6439378,$77.64,$78.23,$77.36
12/17/2025,$77.88,6305263,$78.50,$78.59,$77.13
12/16/2025,$78.29,4476737,$79.65,$79.98,$77.785
12/15/2025,$79.69,5850883,$79.75,$79.90,$79.185
12/12/2025,$79.42,6527178,$81.00,$81.0789,$78.675
12/11/2025,$80.83,11065330,$78.99,$80.89,$78.27
12/10/2025,$78.97,14870230,$78.99,$79.69,$78.15
12/09/2025,$78.24,12602170,$79.145,$80.50,$78.21
12/08/2025,$76.53,8549676,$75.945,$76.945,$75.00
12/05/2025,$75.63,7768387,$76.73,$76.89,$74.98
12/04/2025,$76.75,8872740,$75.12,$76.785,$74.14
12/03/2025,$75.00,8164509,$77.87,$77.875,$75.00
12/02/2025,$77.62,7700857,$79.38,$79.43,$77.19
12/01/2025,$79.10,6754424,$79.97,$81.06,$78.99
11/28/2025,$80.36,2292136,$80.04,$80.405,$79.70
11/26/2025,$79.86,7976463,$78.79,$80.6048,$78.285
11/25/2025,$78.47,4732684,$78.35,$78.91,$78.185
11/24/2025,$77.90,9843432,$78.76,$78.95,$77.21
11/21/2025,$78.03,6493214,$76.54,$78.26,$76.23
11/20/2025,$76.04,5258091,$77.19,$77.50,$75.95
11/19/2025,$76.55,7372130,$77.96,$78.17,$76.30
11/18/2025,$77.94,6254458,$78.35,$78.44,$77.335
11/17/2025,$78.41,8668478,$77.91,$79.87,$77.74
11/14/2025,$77.81,5170917,$79.39,$79.74,$77.75
11/13/2025,$79.24,7262543,$79.23,$79.99,$78.52
11/12/2025,$80.26,9324632,$79.71,$81.72,$79.65
11/11/2025,$79.87,5931745,$78.00,$79.90,$77.66
11/10/2025,$77.54,6905288,$78.05,$79.5799,$76.50
11/07/2025,$78.99,4306246,$79.05,$79.44,$78.29
11/06/2025,$78.66,5807614,$78.71,$79.86,$78.535
11/05/2025,$78.55,6078985,$77.99,$79.26,$77.89
11/04/2025,$78.08,7129495,$78.44,$79.35,$77.56
11/03/2025,$78.44,8239595,$78.06,$78.78,$77.43
10/31/2025,$78.15,9680843,$76.65,$78.225,$76.1201
10/30/2025,$76.69,14120160,$76.08,$79.00,$75.915
10/29/2025,$80.60,14783510,$82.50,$85.15,$80.33
10/28/2025,$82.20,9852797,$83.74,$83.74,$81.61
10/27/2025,$82.45,6129008,$81.35,$82.5599,$80.88
10/24/2025,$81.93,5642460,$81.52,$82.16,$81.085
10/23/2025,$81.07,6025904,$81.24,$81.625,$80.51
10/22/2025,$82.01,6361145,$82.96,$83.03,$81.74
10/21/2025,$83.04,6220401,$82.36,$83.52,$82.08
10/20/2025,$82.48,5703563,$82.46,$82.625,$81.52
10/17/2025,$82.52,6951683,$81.40,$82.875,$81.01
10/16/2025,$81.37,7567878,$80.73,$81.905,$80.6324
10/15/2025,$80.67,11762210,$80.00,$81.93,$79.85
10/14/2025,$79.66,12540030,$78.31,$79.94,$77.75
10/13/2025,$78.44,8435993,$77.54,$79.675,$77.37
10/10/2025,$77.90,8329882,$78.16,$78.99,$77.375
10/09/2025,$76.74,5963898,$77.25,$77.66,$76.53
10/08/2025,$76.93,5062612,$77.35,$77.92,$75.63
10/07/2025,$77.12,4606499,$77.50,$77.90,$76.64
10/06/2025,$76.84,5894811,$77.14,$77.6861,$76.585
10/03/2025,$77.49,7085382,$77.45,$79.20,$77.08
10/02/2025,$77.45,4905815,$76.35,$77.76,$76.27
10/01/2025,$76.87,11095160,$75.30,$77.54,$75.25
09/30/2025,$75.39,7294212,$75.23,$75.83,$73.83
09/29/2025,$75.57,6605459,$75.69,$75.85,$74.09
09/26/2025,$75.77,4900774,$74.935,$75.95,$74.53
09/25/2025,$74.61,6884243,$76.72,$76.79,$74.11
09/24/2025,$76.38,6860507,$76.67,$77.34,$76.04
09/23/2025,$76.50,5938867,$75.09,$76.92,$74.9095
09/22/2025,$75.13,7226584,$74.32,$75.765,$73.80
09/19/2025,$74.92,13445820,$74.69,$76.235,$74.355
09/18/2025,$74.42,5324732,$73.49,$74.455,$73.18
09/17/2025,$74.00,4301546,$73.67,$74.84,$73.51
09/16/2025,$73.48,6585020,$73.45,$73.73,$72.39
09/15/2025,$73.46,7703360,$74.95,$75.00,$72.5101
09/12/2025,$74.98,6400838,$74.42,$75.55,$74.415
09/11/2025,$74.67,9974611,$73.83,$75.00,$73.28
09/10/2025,$73.97,11451740,$72.07,$74.00,$71.96
09/09/2025,$71.75,10585460,$71.56,$73.0467,$70.72
09/08/2025,$70.26,13326380,$73.83,$73.9943,$69.60
09/05/2025,$73.78,5075189,$73.38,$74.49,$73.06
09/04/2025,$73.69,4995135,$73.42,$73.905,$72.91
09/03/2025,$73.32,6700646,$74.09,$74.4527,$72.865
09/02/2025,$74.09,8987905,$72.98,$74.53,$72.88
08/29/2025,$73.15,6394440,$72.24,$73.23,$72.16
08/28/2025,$72.14,5195201,$71.97,$72.301,$71.1142
08/27/2025,$71.93,3588113,$71.63,$72.09,$71.5702
08/26/2025,$71.55,5333468,$71.25,$71.7899,$71.06
08/25/2025,$71.21,4687170,$71.34,$71.64,$70.396
08/22/2025,$71.30,6983571,$71.82,$72.30,$71.10
08/21/2025,$71.43,7071358,$70.89,$72.12,$70.55
08/20/2025,$70.82,4983974,$71.01,$71.36,$70.6528
08/19/2025,$70.97,5233136,$69.96,$71.08,$69.8077
08/18/2025,$70.17,9246348,$70.28,$71.045,$69.40
08/15/2025,$68.60,8252531,$68.20,$69.13,$67.4223
08/14/2025,$66.73,5872715,$66.605,$67.16,$66.24
08/13/2025,$65.90,5686290,$65.81,$66.34,$65.265
08/12/2025,$65.51,4868675,$64.76,$65.7035,$64.32
08/11/2025,$64.88,5556335,$65.63,$66.25,$64.74
08/08/2025,$65.54,6461670,$63.54,$65.62,$63.30
08/07/2025,$63.58,4515500,$63.63,$63.8299,$62.55
08/06/2025,$63.52,5292166,$63.13,$63.895,$62.52
08/05/2025,$63.42,9061866,$61.45,$64.03,$61.35
08/04/2025,$61.45,7866240,$62.02,$62.44,$61.42
08/01/2025,$62.47,11382010,$62.32,$62.70,$61.19
07/31/2025,$62.10,27417850,$65.51,$66.92,$61.23
07/30/2025,$62.30,15343840,$61.70,$62.88,$61.00
07/29/2025,$60.00,11026760,$59.80,$60.94,$58.99
07/28/2025,$59.64,8953575,$60.56,$61.13,$59.3509
07/25/2025,$60.70,10881920,$59.61,$61.17,$59.435
07/24/2025,$58.75,12438600,$61.65,$61.65,$58.50
07/23/2025,$61.85,5448640,$61.34,$62.045,$60.97
07/22/2025,$61.08,6686925,$61.09,$62.20,$60.86
07/21/2025,$61.64,7020363,$62.55,$62.55,$61.525
07/18/2025,$61.96,8612043,$63.35,$63.44,$61.50
07/17/2025,$63.30,7352264,$63.25,$63.88,$62.4837
07/16/2025,$63.80,5830963,$64.00,$64.71,$63.73
07/15/2025,$63.94,5956059,$64.48,$64.67,$63.28
07/14/2025,$64.36,6864509,$64.75,$64.7707,$64.06
07/11/2025,$64.78,7022490,$65.10,$65.24,$64.21
07/10/2025,$65.62,6327975,$66.88,$66.88,$65.355
07/09/2025,$66.66,6330122,$67.01,$67.17,$65.58
07/08/2025,$66.94,4279605,$66.77,$67.40,$66.645
07/07/2025,$66.68,6419036,$67.20,$67.43,$65.955
07/03/2025,$67.43,3770987,$66.92,$67.775,$66.63
07/02/2025,$66.60,10820110,$68.895,$69.11,$66.54
07/01/2025,$69.58,5673386,$68.77,$70.23,$68.75
06/30/2025,$68.98,6047223,$68.68,$69.17,$68.25
06/27/2025,$68.49,5937351,$67.99,$68.82,$67.87
06/26/2025,$68.14,8100059,$66.80,$68.5396,$66.7169
06/25/2025,$66.37,7573589,$67.16,$67.41,$66.07
06/24/2025,$67.58,10270560,$66.73,$68.21,$66.535
06/23/2025,$66.81,6845635,$66.37,$67.12,$65.87
06/20/2025,$66.57,11829890,$66.98,$67.50,$66.54
06/18/2025,$66.84,5209806,$66.85,$67.51,$66.485
06/17/2025,$67.09,6094147,$67.73,$68.60,$66.67
06/16/2025,$67.71,7578448,$67.55,$68.305,$66.68
06/13/2025,$67.46,7562262,$66.17,$67.77,$66.10
06/12/2025,$66.35,6562684,$65.73,$66.36,$64.8242
06/11/2025,$65.72,7422438,$64.27,$65.75,$64.11
06/10/2025,$64.26,5529664,$63.80,$64.525,$63.70
06/09/2025,$63.86,3683956,$63.79,$64.31,$63.55
06/06/2025,$63.58,3265796,$63.46,$63.81,$63.13
06/05/2025,$63.08,6600790,$63.87,$64.14,$62.605
06/04/2025,$63.57,5854114,$63.65,$64.47,$63.54
06/03/2025,$63.59,6453716,$63.49,$64.02,$62.85
06/02/2025,$63.60,6674938,$63.51,$64.07,$62.83
05/30/2025,$64.04,13309080,$62.91,$64.57,$62.18
05/29/2025,$62.78,10633170,$61.99,$63.08,$61.78
05/28/2025,$62.45,9157560,$62.00,$63.37,$61.749
05/27/2025,$61.34,7439932,$60.76,$61.645,$60.41
05/23/2025,$60.83,8143085,$60.62,$60.88,$59.66
05/22/2025,$60.22,10044290,$61.30,$61.47,$59.91
05/21/2025,$62.11,6199706,$62.71,$63.2393,$62.04
05/20/2025,$63.74,7395723,$62.83,$64.09,$62.66
05/19/2025,$62.78,7833915,$62.53,$63.18,$62.18
05/16/2025,$62.53,10800110,$60.56,$62.685,$60.39
05/15/2025,$60.47,11223100,$59.98,$60.48,$58.35
05/14/2025,$60.04,13069860,$61.20,$61.71,$59.82
05/13/2025,$60.50,19166170,$62.69,$62.81,$60.30
05/12/2025,$64.81,20517400,$65.66,$66.47,$63.05
05/09/2025,$66.97,6357680,$67.73,$67.76,$66.81
05/08/2025,$67.85,9927778,$66.975,$68.52,$66.525
05/07/2025,$66.78,9279914,$66.31,$67.16,$65.84
05/06/2025,$66.23,6987315,$66.92,$67.29,$65.905
05/05/2025,$67.10,10652810,$68.23,$68.28,$66.91
05/02/2025,$67.46,14304960,$69.75,$70.30,$67.03
05/01/2025,$69.45,20880060,$72.50,$72.51,$69.27
04/30/2025,$66.71,12539510,$65.75,$66.82,$65.36
04/29/2025,$65.03,9314682,$64.88,$65.41,$64.415
04/28/2025,$64.93,7700420,$65.55,$66.15,$64.20
04/25/2025,$65.32,5022331,$65.87,$65.99,$64.93
04/24/2025,$65.92,7013973,$65.80,$65.99,$65.21
04/23/2025,$65.57,10834850,$65.52,$66.43,$64.825
04/22/2025,$65.45,9118127,$64.82,$65.75,$64.30
04/21/2025,$65.17,9699576,$67.30,$67.445,$64.45
04/17/2025,$67.29,16055650,$65.42,$67.825,$64.00
04/16/2025,$68.55,6899934,$69.21,$69.8112,$68.20
04/15/2025,$68.92,11114420,$69.54,$69.71,$68.48
04/14/2025,$69.20,12125900,$70.00,$70.02,$68.825
04/11/2025,$69.51,12537410,$69.00,$69.99,$67.995
04/10/2025,$68.97,15828670,$69.68,$70.89,$68.3394
04/09/2025,$70.18,17725030,$66.44,$71.215,$66.38
04/08/2025,$67.63,24570350,$71.11,$71.45,$66.90
04/07/2025,$63.85,13158540,$62.00,$64.75,$60.3274
04/04/2025,$63.66,13295590,$65.62,$66.98,$63.495
04/03/2025,$67.51,12204240,$65.97,$69.18,$65.59
04/02/2025,$68.07,6405730,$67.51,$68.17,$67.17
04/01/2025,$67.98,8641465,$67.84,$68.14,$67.09
03/31/2025,$67.75,7457542,$66.82,$68.20,$66.66
03/28/2025,$67.14,6582262,$67.70,$67.91,$66.52
03/27/2025,$67.59,6039570,$67.06,$68.07,$66.81
03/26/2025,$67.20,6992800,$66.83,$67.47,$66.63
03/25/2025,$66.48,7537491,$67.99,$67.99,$65.89
03/24/2025,$67.57,11329580,$67.57,$68.50,$67.25
03/21/2025,$67.05,18108070,$68.46,$68.69,$67.01
03/20/2025,$68.64,7205558,$67.93,$68.87,$67.62
03/19/2025,$67.91,5873606,$67.85,$68.145,$66.92
03/18/2025,$67.57,11776040,$66.65,$68.10,$66.335
03/17/2025,$66.65,6860648,$65.59,$67.10,$65.52
03/14/2025,$65.68,9004080,$66.35,$67.25,$65.4601
03/13/2025,$65.75,7690122,$64.40,$67.04,$64.40
03/12/2025,$64.84,10330760,$64.74,$66.33,$64.44
03/11/2025,$64.98,7301358,$65.63,$65.825,$64.66
03/10/2025,$65.23,8340979,$65.68,$66.98,$65.02
03/07/2025,$66.33,10083060,$64.41,$67.09,$64.00
03/06/2025,$65.25,5966212,$65.80,$66.10,$64.49
03/05/2025,$65.95,6642923,$64.20,$66.40,$64.02
03/04/2025,$64.21,7218096,$64.33,$65.4136,$64.0217
03/03/2025,$64.90,7078804,$65.76,$66.36,$64.32
02/28/2025,$65.72,10476170,$64.28,$65.90,$64.20
02/27/2025,$64.48,8275885,$64.03,$65.03,$63.76
02/26/2025,$63.86,6558598,$63.60,$64.06,$62.59
02/25/2025,$63.66,10320230,$63.02,$63.93,$62.13
02/24/2025,$63.02,8157966,$63.58,$64.10,$62.60
02/21/2025,$63.48,14117580,$62.88,$65.29,$62.0217
02/20/2025,$65.09,8453837,$66.25,$66.31,$64.985
02/19/2025,$66.40,9736897,$65.80,$67.17,$65.31
02/18/2025,$65.57,10141570,$64.845,$66.89,$64.51
02/14/2025,$65.83,10210480,$66.89,$66.99,$65.58
02/13/2025,$66.37,20989140,$63.86,$67.34,$63.56
02/12/2025,$63.22,36562090,$60.61,$64.11,$60.50
02/11/2025,$55.00,12665540,$54.56,$55.94,$54.06
02/10/2025,$54.29,10097610,$54.39,$54.42,$53.36
02/07/2025,$54.01,5911537,$54.54,$54.8099,$53.90
02/06/2025,$54.24,14970180,$55.78,$55.98,$53.84
02/05/2025,$55.69,7641533,$56.39,$56.41,$55.26
02/04/2025,$56.35,7865567,$55.51,$56.55,$55.25
02/03/2025,$55.95,8638365,$56.08,$56.67,$55.25
01/31/2025,$56.48,10823720,$56.75,$57.32,$55.76
01/30/2025,$56.82,11121120,$56.63,$57.04,$55.32
01/29/2025,$56.90,11615070,$57.49,$58.46,$56.79
01/28/2025,$57.33,14019700,$56.06,$57.62,$56.00
01/27/2025,$56.20,11342160,$55.00,$56.77,$55.00
01/24/2025,$54.55,13122050,$53.59,$54.93,$53.2849
01/23/2025,$53.82,13422120,$53.52,$54.61,$52.69
01/22/2025,$52.99,10672870,$52.75,$53.50,$52.34
01/21/2025,$53.15,9962467,$52.94,$53.27,$52.21
01/17/2025,$52.62,13415640,$52.23,$52.89,$51.795
01/16/2025,$51.96,14277260,$51.43,$52.155,$50.63
01/15/2025,$52.14,10969750,$51.81,$52.28,$51.42
01/14/2025,$51.57,16623460,$51.50,$52.08,$50.14
01/13/2025,$51.52,25668840,$50.345,$51.7694,$49.5201
01/10/2025,$48.01,16826150,$46.42,$48.10,$46.34
01/08/2025,$46.01,14272800,$45.65,$46.175,$44.92
01/07/2025,$45.78,10244530,$46.32,$46.82,$45.574
01/06/2025,$45.82,16462550,$46.08,$47.17,$45.6901
01/03/2025,$45.77,12202290,$44.72,$46.26,$44.1359
01/02/2025,$44.22,10626140,$45.11,$45.36,$44.11
12/31/2024,$44.89,11688430,$43.84,$45.03,$43.72
12/30/2024,$43.94,12153650,$44.24,$44.43,$43.65
12/27/2024,$44.49,10563770,$44.70,$45.06,$44.24
12/26/2024,$44.92,11338920,$44.14,$45.69,$44.01
12/24/2024,$44.25,5922735,$44.00,$44.25,$43.73
12/23/2024,$44.14,16404970,$44.35,$44.375,$43.56
12/20/2024,$44.36,21447300,$43.72,$44.7675,$43.68
12/19/2024,$43.78,26006200,$44.29,$45.29,$43.60
12/18/2024,$45.28,26201880,$44.80,$46.62,$44.59
12/17/2024,$44.04,29444300,$45.97,$46.29,$43.93
12/16/2024,$46.60,20783450,$49.01,$49.1198,$46.38
12/13/2024,$49.37,17647660,$49.14,$49.94,$48.01
12/12/2024,$49.58,22510300,$51.50,$52.17,$49.47
12/11/2024,$51.76,17924970,$54.50,$54.84,$51.73
12/10/2024,$55.15,12685410,$56.00,$56.00,$54.48
12/09/2024,$56.07,11534950,$55.13,$56.27,$54.95
12/06/2024,$55.29,9635184,$57.00,$57.15,$55.24
12/05/2024,$56.86,9063465,$58.14,$58.28,$56.4667
12/04/2024,$58.05,7953786,$59.00,$59.35,$57.78
12/03/2024,$59.19,9011484,$59.92,$60.05,$59.03
12/02/2024,$59.08,11633670,$59.70,$59.75,$58.605
11/29/2024,$59.85,3947743,$59.76,$60.47,$59.61
11/27/2024,$59.96,7597444,$58.98,$60.135,$58.8901
11/26/2024,$59.01,7885164,$59.62,$59.84,$58.3171
11/25/2024,$60.08,15615740,$59.00,$60.29,$58.89
11/22/2024,$58.01,11153900,$57.20,$58.04,$56.6201
11/21/2024,$57.10,7243215,$56.80,$57.15,$56.40
11/20/2024,$56.83,11449460,$56.25,$57.67,$56.00
11/19/2024,$55.77,12128490,$55.57,$56.71,$55.28
11/18/2024,$56.05,18704100,$53.73,$56.78,$53.45
11/15/2024,$53.19,16695420,$54.99,$55.06,$52.71
11/14/2024,$55.09,8792260,$54.02,$55.19,$53.86
11/13/2024,$54.27,8050715,$53.89,$54.63,$53.68
11/12/2024,$54.03,15970330,$55.62,$55.62,$53.51
11/11/2024,$55.81,11570600,$55.583,$56.43,$55.16
11/08/2024,$55.54,13650270,$57.19,$57.28,$55.45
11/07/2024,$57.07,22292310,$61.29,$61.69,$57.06
11/06/2024,$61.61,29141140,$61.70,$63.33,$60.82
11/05/2024,$55.34,11114960,$54.50,$55.35,$54.31
11/04/2024,$54.65,11544200,$55.97,$56.65,$54.65
11/01/2024,$55.81,13589360,$56.74,$57.23,$55.62
10/31/2024,$56.46,7558969,$56.75,$57.32,$55.94
10/30/2024,$56.39,8643009,$56.26,$56.80,$56.16
10/29/2024,$56.25,6814034,$57.10,$57.50,$56.20
10/28/2024,$57.36,9021590,$56.55,$57.72,$56.47
10/25/2024,$56.49,8439033,$56.38,$57.36,$56.33
10/24/2024,$56.12,8811371,$56.69,$57.18,$56.09
10/23/2024,$56.78,9942318,$56.70,$57.20,$56.46
10/22/2024,$56.85,14553590,$57.85,$57.93,$56.6824
10/21/2024,$58.17,13579740,$59.75,$60.28,$57.87
10/18/2024,$60.34,42250230,$59.54,$60.4599,$57.47
10/17/2024,$63.67,9744265,$63.41,$63.92,$62.50
10/16/2024,$65.02,10734040,$65.24,$65.83,$64.90
10/15/2024,$65.00,17216590,$64.47,$66.09,$63.60
10/14/2024,$67.46,13436320,$66.77,$67.795,$66.52
10/11/2024,$66.63,12908850,$67.10,$67.70,$66.28
10/10/2024,$66.85,12759810,$67.38,$67.67,$66.65
10/09/2024,$65.97,8604812,$65.90,$66.02,$64.91
10/08/2024,$65.90,10476560,$65.30,$66.10,$64.95
10/07/2024,$65.25,11720110,$64.27,$65.70,$64.0905
10/04/2024,$64.59,16313880,$63.72,$65.57,$63.6643
10/03/2024,$62.92,10141640,$61.95,$63.22,$61.46
10/02/2024,$62.24,22297770,$63.01,$63.96,$61.8898
10/01/2024,$61.54,16285910,$63.00,$63.18,$60.76
09/30/2024,$62.88,16059750,$63.105,$63.60,$62.22
09/27/2024,$61.38,12510220,$59.45,$61.86,$59.29
09/26/2024,$59.01,8357246,$58.74,$59.08,$58.35
09/25/2024,$58.64,11270730,$58.82,$59.33,$58.32
09/24/2024,$58.08,7813642,$57.64,$58.23,$57.32
09/23/2024,$57.57,9407147,$57.57,$58.10,$57.3201
09/20/2024,$57.51,10239970,$58.00,$58.08,$57.13
09/19/2024,$58.40,4885434,$58.70,$59.10,$58.12
09/18/2024,$58.42,5104313,$57.88,$59.19,$57.7463
09/17/2024,$57.83,6171148,$58.37,$58.75,$57.56
09/16/2024,$58.37,5169872,$58.32,$58.64,$57.88
09/13/2024,$57.98,7429524,$57.56,$58.27,$57.10
09/12/2024,$57.53,7140186,$56.34,$57.74,$55.88
09/11/2024,$56.11,9768354,$56.35,$56.35,$54.81
09/10/2024,$56.94,5113498,$56.58,$57.07,$55.73
09/09/2024,$56.47,9140105,$57.95,$58.14,$55.51
09/06/2024,$57.75,6263025,$58.14,$59.12,$57.65
09/05/2024,$58.07,7022197,$59.50,$59.6296,$57.40
09/04/2024,$59.30,14231270,$57.39,$59.86,$57.26
09/03/2024,$57.38,11601610,$57.20,$58.50,$57.11
08/30/2024,$57.24,8188057,$56.96,$57.42,$56.85
08/29/2024,$56.97,9180970,$57.35,$57.4838,$56.50
08/28/2024,$57.24,7963588,$57.50,$57.93,$56.77
08/27/2024,$57.46,6180854,$58.62,$58.74,$57.43
08/26/2024,$58.70,6892582,$58.70,$59.79,$58.57
08/23/2024,$58.75,9614381,$58.06,$58.85,$57.765
08/22/2024,$57.74,7883056,$58.46,$58.46,$57.165
08/21/2024,$58.32,4730369,$58.99,$59.24,$58.08
08/20/2024,$58.90,4178664,$58.70,$59.2499,$58.5147
08/19/2024,$58.80,7469140,$58.41,$59.14,$58.38
08/16/2024,$58.35,7442666,$57.36,$58.54,$57.30
08/15/2024,$57.56,10041030,$56.39,$57.57,$56.29
08/14/2024,$55.99,5873232,$55.88,$56.4223,$55.75
08/13/2024,$55.82,7839264,$55.90,$56.49,$55.745
08/12/2024,$55.81,8390242,$57.21,$57.22,$55.60
08/09/2024,$57.11,8345205,$57.80,$57.85,$56.65
08/08/2024,$57.85,11683610,$56.30,$58.10,$56.21
08/07/2024,$56.47,14975960,$58.00,$58.6098,$56.27
08/06/2024,$58.34,11471860,$57.69,$58.96,$57.33
08/05/2024,$57.81,9479794,$58.00,$58.76,$57.07
08/02/2024,$59.32,8695521,$60.24,$60.64,$58.19
08/01/2024,$60.03,9214930,$60.88,$61.55,$59.45
07/31/2024,$60.33,12826550,$60.84,$62.10,$60.13
07/30/2024,$63.18,10469410,$61.67,$63.92,$61.67
07/29/2024,$61.57,9237813,$60.69,$62.04,$60.27
07/26/2024,$61.00,14553170,$59.02,$61.10,$58.91
07/25/2024,$58.65,8178244,$58.87,$60.04,$58.27
07/24/2024,$58.54,10223210,$58.08,$58.63,$57.43
07/23/2024,$57.97,7460520,$58.17,$58.21,$57.32
07/22/2024,$58.33,7913647,$58.88,$59.06,$58.08
07/19/2024,$59.57,7143914,$60.28,$60.46,$59.13
07/18/2024,$59.91,6968921,$61.00,$61.99,$59.765
07/17/2024,$61.60,12382500,$59.87,$62.01,$59.76
07/16/2024,$60.06,9724216,$59.32,$60.23,$58.81
07/15/2024,$58.67,6186530,$59.64,$59.97,$58.415
07/12/2024,$59.00,8220232,$58.30,$59.57,$57.8507
07/11/2024,$58.21,7531390,$57.42,$58.34,$57.42
07/10/2024,$57.53,11035020,$57.87,$58.05,$56.36
07/09/2024,$57.62,8833790,$56.27,$57.725,$55.84
07/08/2024,$56.89,5908211,$56.65,$57.38,$56.615
07/05/2024,$56.62,6275293,$56.67,$56.74,$55.85
07/03/2024,$56.70,5371350,$57.56,$57.85,$56.45
07/02/2024,$57.52,7143034,$58.04,$58.22,$57.2292
07/01/2024,$58.15,8337910,$59.20,$60.02,$57.81
06/28/2024,$59.06,14343540,$59.00,$59.985,$58.47
06/27/2024,$58.36,16224730,$58.37,$58.485,$57.22
06/26/2024,$60.63,8197761,$60.23,$60.95,$59.77
06/25/2024,$60.44,8446888,$61.73,$61.98,$60.44
06/24/2024,$61.73,8704665,$61.50,$62.065,$61.27
06/21/2024,$61.37,20871250,$61.12,$61.63,$60.48
06/20/2024,$61.00,6899505,$60.81,$61.33,$60.40
06/18/2024,$61.01,8908978,$61.30,$61.87,$60.87
06/17/2024,$61.09,7791324,$60.00,$61.235,$59.84
06/14/2024,$60.22,11690760,$60.92,$60.93,$59.16
06/13/2024,$61.03,14136580,$59.87,$61.84,$59.07
06/12/2024,$59.99,10617900,$59.96,$60.33,$59.32
06/11/2024,$60.00,10286320,$60.08,$60.21,$59.555
06/10/2024,$60.28,10633370,$61.53,$61.53,$59.905
06/07/2024,$61.78,12239980,$60.70,$61.95,$60.56
06/06/2024,$60.94,9545860,$60.50,$61.0095,$59.91
06/05/2024,$60.70,8933039,$60.26,$60.71,$59.62
06/04/2024,$60.26,12873080,$60.19,$60.42,$59.33
06/03/2024,$60.21,17087320,$59.13,$60.44,$59.0025
05/31/2024,$59.60,22366750,$56.00,$59.62,$55.82
05/30/2024,$56.04,16154340,$53.67,$56.22,$53.60
05/29/2024,$53.67,16543440,$53.20,$53.72,$52.7705
05/28/2024,$53.63,14387110,$55.38,$55.385,$53.58
05/24/2024,$55.54,11725740,$56.13,$56.85,$55.53
05/23/2024,$55.65,18271080,$57.18,$59.73,$55.48
05/22/2024,$57.44,9543931,$57.42,$57.56,$57.16
05/21/2024,$57.32,16758060,$57.45,$57.49,$56.70
05/20/2024,$57.40,11475940,$57.65,$57.87,$57.27
05/17/2024,$57.68,9607690,$57.65,$57.695,$57.08
05/16/2024,$57.52,13974760,$56.36,$57.725,$56.29
